"id","bucket","measure","avg","min","max"
"bst2000-201383","2022-08-02 05:20:00","pusher_right_motor_heat",36.4,35,37
"bst2000-201383","2022-08-02 05:20:00","slave_shaft_drive_heat",54.8,52,57
"bst2000-201383","2022-08-02 05:20:00","slave_shaft_motor_heat",58.6,57,60
"bst2000-201383","2022-08-02 05:10:00","master_shaft_drive_heat",53.6,52,55
"bst2000-201383","2022-08-02 05:10:00","master_shaft_motor_heat",54.8,54,56
"bst2000-201383","2022-08-02 05:10:00","pusher_left_motor_heat",37.0,37,37
"bst2000-201383","2022-08-02 05:10:00","pusher_right_motor_heat",32.6,31,35
"bst2000-201383","2022-08-02 05:10:00","slave_shaft_drive_heat",53.4,52,57
"bst2000-201383","2022-08-02 05:10:00","slave_shaft_motor_heat",57.0,56,58
"bst2000-201383","2022-08-02 05:00:00","master_shaft_drive_heat",54.6,52,57
"bst2000-201383","2022-08-02 05:00:00","master_shaft_motor_heat",50.6,48,53
"bst2000-201383","2022-08-02 05:00:00","pusher_left_motor_heat",37.2,36,38
"bst2000-201383","2022-08-02 05:00:00","pusher_right_motor_heat",33.6,32,36
"bst2000-201383","2022-08-02 05:00:00","slave_shaft_drive_heat",53.2,51,56
"bst2000-201383","2022-08-02 05:00:00","slave_shaft_motor_heat",52.6,50,55
"bst2000-201383","2022-08-02 04:50:00","master_shaft_drive_heat",54.2,51,57
"bst2000-201383","2022-08-02 04:50:00","master_shaft_motor_heat",45.4,42,48
"bst2000-201383","2022-08-02 04:50:00","pusher_left_motor_heat",38.0,37,39
"bst2000-201383","2022-08-02 04:50:00","pusher_right_motor_heat",35.4,35,36
"bst2000-201383","2022-08-02 04:50:00","slave_shaft_drive_heat",54.8,53,57
"bst2000-201383","2022-08-02 04:50:00","slave_shaft_motor_heat",47.8,45,50
"bst2000-201383","2022-08-02 04:40:00","master_shaft_drive_heat",51.83,50,54
"bst2000-201383","2022-08-02 04:40:00","master_shaft_motor_heat",40.33,39,42
